Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Wednesday,06:00-09:00,20,2,90,33,29
Greedy Demand,Wednesday,06:00-09:00,20,2,90,48,18
Nearest Neighbor,Wednesday,06:00-09:00,20,3,90,48,42
Greedy Demand,Wednesday,06:00-09:00,20,3,90,70,29
Nearest Neighbor,Wednesday,06:00-09:00,20,4,90,67,55
Greedy Demand,Wednesday,06:00-09:00,20,4,90,86,38
Nearest Neighbor,Wednesday,06:00-09:00,20,5,90,75,65
Greedy Demand,Wednesday,06:00-09:00,20,5,90,91,41
Nearest Neighbor,Wednesday,06:00-09:00,20,1,120,22,20
Greedy Demand,Wednesday,06:00-09:00,20,1,120,32,12
Nearest Neighbor,Wednesday,06:00-09:00,20,2,120,43,38
Greedy Demand,Wednesday,06:00-09:00,20,2,120,60,27
Nearest Neighbor,Wednesday,06:00-09:00,20,3,120,66,56
Greedy Demand,Wednesday,06:00-09:00,20,3,120,80,38
Nearest Neighbor,Wednesday,06:00-09:00,20,4,120,77,71
Greedy Demand,Wednesday,06:00-09:00,20,4,120,90,46
Nearest Neighbor,Wednesday,06:00-09:00,20,5,120,91,88
Greedy Demand,Wednesday,06:00-09:00,20,5,120,108,64
Nearest Neighbor,Wednesday,06:00-09:00,20,1,150,27,25
Greedy Demand,Wednesday,06:00-09:00,20,1,150,32,16
Nearest Neighbor,Wednesday,06:00-09:00,20,2,150,53,48
Greedy Demand,Wednesday,06:00-09:00,20,2,150,67,34
Nearest Neighbor,Wednesday,06:00-09:00,20,3,150,77,71
Greedy Demand,Wednesday,06:00-09:00,20,3,150,79,41
Nearest Neighbor,Wednesday,06:00-09:00,20,4,150,94,91
Greedy Demand,Wednesday,06:00-09:00,20,4,150,102,64
Nearest Neighbor,Wednesday,06:00-09:00,20,5,150,108,109
Greedy Demand,Wednesday,06:00-09:00,20,5,150,121,83
Nearest Neighbor,Wednesday,06:00-09:00,20,1,180,35,30
Greedy Demand,Wednesday,06:00-09:00,20,1,180,32,20
Nearest Neighbor,Wednesday,06:00-09:00,20,2,180,60,56
